t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0,1.39626,-1.5708,0.436332,-0.436332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975262,0,0,9.33009,765.414
0.005,1.39578,-1.57131,0.438866,-0.438346,-0.350873,-0.182404,1.37399,-1.10539,3.59823,75.2838,-79.3556,0,0,0,-0.656331,103.439,87.7188,0,0,0,0,0,0,0.97514,0.0101051,-0.0489689,-1.63419,765.707
0.01,1.39212,-1.57242,0.451338,-0.448533,-1.10861,-0.24911,3.56902,-2.93851,2.74536,62.4688,-84.3436,0,0,0,-0.683897,222.952,247.844,0,0,0,0,0,0,0.974772,0.0251338,-0.0980402,0.00990961,767.466
0.015,1.38491,-1.57367,0.473708,-0.467057,-1.75607,-0.236885,5.29537,-4.40333,1.40485,47.9328,-69.1972,0,0,0,-0.332787,253.822,304.699,0,0,0,0,0,0,0.974159,0.0367678,-0.147115,-0.495144,770.087
0.02,1.37471,-1.57465,0.503553,-0.491967,-2.30826,-0.142477,6.57867,-5.50894,0.603275,38.2407,-57.202,0,0,0,-0.0859529,251.573,315.122,0,0,0,0,0,0,0.973301,0.0456785,-0.196188,-0.231336,772.918
0.025,1.36192,-1.57497,0.538938,-0.521698,-2.79934,0.0276928,7.52732,-6.34475,-0.0105738,31.6156,-48.3765,0,0,0,-0.000292818,237.981,306.937,-0,0,0,0,0,0,0.972197,0.0526822,-0.245254,-0.400396,775.704
0.03,1.3468,-1.57428,0.578402,-0.555076,-3.24534,0.259468,8.22098,-6.97692,-0.374953,26.9479,-41.6735,0,0,0,-0.0972883,221.538,290.753,-0,0,0,0,0,0,0.970848,0.0583299,-0.294327,-0.291349,778.349
0.035,1.32954,-1.5723,0.62082,-0.591208,-3.65232,0.53694,8.71701,-7.4531,-0.607834,23.5579,-36.4578,0,0,0,-0.326371,205.354,271.724,-0,0,0,0,0,0,0.969254,0.0629865,-0.343394,-0.254668,780.822
0.04,1.31033,-1.56885,0.665315,-0.629406,-4.02194,0.845014,9.0583,-7.80861,-0.740352,21.0347,-32.2938,0,0,0,-0.625608,190.538,252.17,-0,0,0,0,0,0,0.967414,0.0669096,-0.39246,-0.269189,783.118
0.045,1.28938,-1.56382,0.711199,-0.669138,-4.35412,1.17055,9.27745,-8.07,-0.797081,19.0671,-28.8603,0,0,0,-0.933024,176.894,232.903,-0,0,0,0,0,0,0.965329,0.0702793,-0.441528,-0.2924,785.245
0.05,1.26686,-1.55714,0.757927,-0.709983,-4.64802,1.50248,9.39916,-8.25715,-0.817106,17.3682,-26.0005,0,0,0,-1.22769,163.246,214.69,-0,0,0,0,0,0,0.962999,0.0732114,-0.490597,-0.327567,787.209
0.055,1.24297,-1.5488,0.805059,-0.751609,-4.90166,1.83101,9.4413,-8.38411,-0.852954,15.5962,-23.4565,0,0,0,-1.56177,147.248,196.662,-0,0,0,0,0,0,0.960423,0.0757592,-0.539669,-0.36646,789.008
0.06,1.21791,-1.53885,0.852227,-0.793738,-5.11085,2.14616,9.4152,-8.45932,-0.957939,13.4064,-21.1423,0,0,0,-2.05589,126.224,178.85,-0,0,0,0,0,0,0.957602,0.0779045,-0.588741,-0.325532,790.623
0.065,1.19194,-1.52738,0.899115,-0.836129,-5.27268,2.43926,9.33149,-8.49019,-1.15185,10.7774,-18.9901,0,0,0,-2.80965,100.569,161.229,-0,0,0,0,0,0,0.954536,0.0796243,-0.637813,-0.149237,792.038
0.07,1.16532,-1.51454,0.945411,-0.878538,-5.35572,2.68296,9.16836,-8.45915,-2.66539,1.37476,-16.4885,0,0,0,-7.15116,12.6043,139.479,-0,0,0,0,0,0,0.951224,0.0803425,-0.68687,-0.342259,793.064
0.075,1.13853,-1.50067,0.990676,-0.920614,-5.34927,2.85767,8.93395,-8.36593,-2.95809,-0.479753,-12.692,0,0,0,-8.45322,-4.28609,106.18,-0,0,0,0,0,0,0.947667,0.0799785,-0.735934,-0.377191,793.636
0.08,1.1119,-1.48604,1.03473,-0.962159,-5.29874,2.98527,8.68808,-8.24928,-2.96016,-0.556519,-8.99437,0,0,0,-8.83687,-4.83508,74.1971,-0,0,0,0,0,0,0.943865,0.079471,-0.78501,-0.36725,794.016
0.085,1.0856,-1.47088,1.07756,-1.00309,-5.21661,3.07346,8.44476,-8.12197,-2.94756,-0.308827,-7.0205,0,0,0,-9.05922,-2.60797,57.0203,-0,0,0,0,0,0,0.939817,0.0788953,-0.834083,-0.409372,794.276
0.09,1.05977,-1.45536,1.1192,-1.04338,-5.1119,3.12893,8.21199,-7.99218,-2.93305,0.0112321,-4.89583,0,0,0,-9.1773,0.0922381,39.1283,-0,0,0,0,0,0,0.935524,0.0782893,-0.88316,-0.426177,794.466
0.095,1.03452,-1.43965,1.1597,-1.083,-4.98478,3.15065,7.99011,-7.85863,-2.95259,0.316198,-2.80745,0,0,0,-9.30257,2.52646,22.0627,-0,0,0,0,0,0,0.930986,0.0776455,-0.932239,-0.516438,794.578
0.1,1.00995,-1.42391,1.19912,-1.12196,-4.83739,3.13983,7.78069,-7.72246,-2.9571,0.613085,-0.385368,0,0,0,-9.28479,4.77023,2.97599,-0,0,0,0,0,0,0.926202,0.0769578,-0.981319,-0.429751,794.621
0.105,0.9862,-1.40833,1.23751,-1.1602,-4.65572,3.07975,7.57644,-7.5683,-2.94674,0.891207,6.55466,0,0,0,-9.07524,6.75218,-49.6077,-0,0,0,0,0,0,0.921172,0.0761988,-1.03039,-0.294006,794.497
0.11,0.963482,-1.39323,1.27488,-1.19758,-4.42258,2.94807,7.37115,-7.37885,-2.81506,1.13208,14.9038,0,0,0,-8.29899,8.34477,-109.973,-0,0,0,0,0,0,0.915898,0.0753339,-1.07944,0.70531,794.091
0.115,0.94206,-1.37898,1.31123,-1.23393,-4.13744,2.74035,7.16867,-7.15432,-2.59994,1.3194,23.6823,0,0,0,-7.12475,9.45831,-169.431,-0,0,0,0,0,0,0.910378,0.0743513,-1.12839,2.4052,793.404
0.12,0.922207,-1.36597,1.34657,-1.26905,-3.79448,2.44625,6.96986,-6.88954,-2.34405,1.44955,32.423,0,0,0,-5.73413,10.1032,-223.379,-0,0,0,0,0,0,0.904614,0.0732348,-1.17723,4.55142,792.41
0.125,0.904149,-1.35459,1.38097,-1.30282,-3.42869,2.10543,6.79194,-6.61895,-2.07518,1.50165,32.1743,0,0,0,-4.36916,10.1991,-212.96,-0,0,0,0,0,0,0.898606,0.0720265,-1.22591,7.20124,791.339
0.13,0.887913,-1.34494,1.41454,-1.33528,-3.06727,1.75221,6.64362,-6.36738,-1.80551,1.47871,30.5356,0,0,0,-3.16363,9.82397,-194.432,-0,0,0,0,0,0,0.892355,0.0707627,-1.27443,9.9483,790.351
0.135,0.873463,-1.33707,1.44745,-1.36653,-2.71409,1.39375,6.52238,-6.13631,-1.53375,1.39401,28.8276,0,0,0,-2.13767,9.09225,-176.895,-0,0,0,0,0,0,0.885862,0.0694515,-1.32277,12.7175,789.458
0.14,0.860758,-1.33101,1.47981,-1.39667,-2.36938,1.03264,6.42457,-5.92393,-1.26978,1.25602,27.1655,0,0,0,-1.31123,8.0694,-160.927,-0,0,0,0,0,0,0.879128,0.0680974,-1.37094,15.4215,788.648
0.145,0.849755,-1.32675,1.51173,-1.42579,-2.03302,0.67078,6.34687,-5.72838,-1.01274,1.07485,25.629,0,0,0,-0.679325,6.82191,-146.813,-0,0,0,0,0,0,0.872153,0.0667051,-1.41894,18.0372,787.913
0.15,0.840414,-1.3243,1.5433,-1.45398,-1.70451,0.309341,6.2862,-5.54766,-0.702492,0.796401,24.2622,0,0,0,-0.21731,5.00633,-134.599,-0,0,0,0,0,0,0.864939,0.0652758,-1.46678,21.0112,787.237
0.155,0.832714,-1.32367,1.57461,-1.48128,-1.36105,-0.0805477,6.23333,-5.35839,0.0200361,0.372864,44.5428,0,0,0,-0.00161386,2.32418,-238.678,0,0,0,0,0,0,0.857486,0.0637881,-1.51438,25.6022,786.486
0.16,0.827318,-1.32579,1.60548,-1.50708,-0.716055,-0.866624,6.07791,-4.88846,41.4335,-77.5228,172.983,0,0,0,-35.9073,-471.177,-845.618,0,0,0,0,0,0,0.849801,0.060014,-1.55585,405.069,783.397
0.165,0.826296,-1.33312,1.63476,-1.52941,0.339101,-2.08494,5.57344,-3.99655,174.029,-285.839,364.888,0,0,0,-362.84,-1593.11,-1458.29,0,0,0,0,0,0,0.842023,0.0397204,-1.5431,1551.25,771.011
0.17,0.830498,-1.34625,1.66092,-1.54697,1.28599,-3.0914,4.88059,-3.04755,284.959,-407.182,470.982,0,0,0,-880.924,-1987.29,-1435.34,0,0,0,0,0,0,0.834476,0.00551256,-1.4669,2401.21,751.323
0.175,0.838495,-1.36315,1.68357,-1.56019,1.84602,-3.58268,4.1881,-2.27008,363.548,-469.792,525.339,0,0,0,-1302.48,-1967.54,-1192.56,0,0,0,0,0,0,0.827426,-0.0343513,-1.34753,2942,729.178
0.18,0.848369,-1.38133,1.70289,-1.56998,2.05456,-3.62625,3.55116,-1.67415,412.761,-498.374,552.239,0,0,0,-1496.77,-1769.81,-924.533,0,0,0,0,0,0,0.821043,-0.0760488,-1.20227,3242.71,707.409
0.185,0.858658,-1.39895,1.71918,-1.57713,2.03289,-3.38755,2.97338,-1.20276,439.574,-507.529,563.818,0,0,0,-1489.08,-1509.08,-678.14,0,0,0,0,0,0,0.815425,-0.117956,-1.04375,3377.76,687.669
0.19,0.868495,-1.41497,1.73271,-1.58212,1.88852,-3.0082,2.44418,-0.799777,451.06,-505.658,566.032,0,0,0,-1356.88,-1235.92,-452.699,0,0,0,0,0,0,0.810614,-0.159385,-0.880334,3408.06,670.837
0.195,0.877457,-1.42895,1.74369,-1.58518,1.69162,-2.57871,1.95252,-0.428022,452.838,-497.625,562.104,0,0,0,-1167.74,-971.621,-240.593,0,0,0,0,0,0,0.806621,-0.200031,-0.717126,3376.96,657.27
0.2,0.885389,-1.44076,1.75228,-1.58642,1.48055,-2.1472,1.49041,-0.0677629,448.827,-486.289,554.04,0,0,0,-963.719,-724.769,-37.5434,0,0,0,0,0,0,0.803437,-0.239759,-0.557013,3312.67,647.016
0.205,0.89227,-1.45045,1.75863,-1.58587,1.27309,-1.73481,1.05269,0.289423,441.569,-473.356,543.216,0,0,0,-766.039,-498.299,157.219,0,0,-0,0,0,0,0.801043,-0.278519,-0.401486,3232.48,639.951
0.21,0.898136,-1.45815,1.76284,-1.58353,1.07503,-1.34719,0.63624,0.645493,432.652,-459.848,530.625,0,0,0,-582.866,-292.574,342.514,0,0,-0,0,0,0,0.799414,-0.316309,-0.251181,3146.67,635.87
0.215,0.903038,-1.46397,1.76502,-1.57941,0.887676,-0.984176,0.238563,1.00032,422.808,-446.354,516.952,0,0,0,-416.118,-106.483,517.119,0,0,-0,0,0,0,0.798522,-0.353165,-0.10629,3059.75,634.544
0.22,0.907031,-1.46803,1.76526,-1.57353,0.711203,-0.644232,-0.142765,1.3536,412.484,-433.187,502.641,0,0,0,-265.736,61.8438,680.375,0,-0,-0,0,0,0,0.798342,-0.389147,0.0332034,2974.22,635.74
0.225,0.910167,-1.47044,1.76362,-1.56588,0.545218,-0.325193,-0.510014,1.70498,401.959,-420.499,487.984,0,0,0,-130.714,214.46,832.001,0,-0,-0,0,0,0,0.798846,-0.424323,0.167431,2891.41,639.237
0.23,0.912499,-1.47131,1.76018,-1.55648,0.389088,-0.0247344,-0.865295,2.05421,391.4,-408.346,473.168,0,0,0,-9.68103,353.339,971.987,0,-0,-0,0,0,0,0.800008,-0.458759,0.296586,2811.92,644.831
0.235,0.914074,-1.47072,1.75498,-1.54534,0.242166,0.259336,-1.21058,2.40123,380.899,-396.726,458.313,0,0,0,98.7807,480.268,1100.52,-0,-0,-0,0,0,0,0.801803,-0.492522,0.420881,2735.91,652.334
0.24,0.914935,-1.46874,1.74808,-1.53247,0.103898,0.528955,-1.54772,2.74617,370.504,-385.609,443.494,0,0,0,195.98,596.813,1217.91,-0,-0,-0,0,0,0,0.804209,-0.525671,0.540533,2663.31,661.572
0.245,0.915126,-1.46545,1.73952,-1.51788,-0.0261528,0.78579,-1.87846,3.08932,360.239,-374.943,428.751,0,0,0,283.073,704.313,1324.55,-0,-0,-0,0,0,0,0.807201,-0.55826,0.655749,2593.91,672.391
0.25,0.914687,-1.4609,1.72931,-1.50158,-0.148342,1.03129,-2.20445,3.43113,350.116,-364.671,414.107,0,0,0,361.073,803.897,1420.85,-0,-0,-0,0,0,0,0.810759,-0.590335,0.766721,2527.46,684.646
0.255,0.913655,-1.45515,1.71748,-1.48357,-0.263006,1.26681,-2.52724,3.77212,340.142,-354.732,399.569,0,0,0,430.895,896.492,1507.22,-0,-0,-0,0,0,0,0.814862,-0.621937,0.873627,2463.74,698.207
0.26,0.912069,-1.44825,1.70404,-1.46386,-0.370554,1.49368,-2.84829,4.11286,330.328,-345.065,385.141,0,0,0,493.403,982.847,1584.03,-0,-0,-0,0,0,0,0.819489,-0.653097,0.97663,2402.56,712.954
0.265,0.909961,-1.44023,1.689,-1.44244,-0.47149,1.71331,-3.16897,4.45391,320.657,-335.614,370.82,0,0,0,549.383,1063.55,1651.6,-0,-0,-0,0,0,0,0.824622,-0.683844,1.07588,2343.6,728.775
0.27,0.907365,-1.43113,1.67235,-1.41932,-0.565621,1.92621,-3.49087,4.79637,311.022,-326.312,356.577,0,0,0,599.094,1139.11,1710.28,-0,-0,-0,0,0,0,0.830242,-0.714202,1.1715,2286.02,745.565
0.275,0.904317,-1.42098,1.65408,-1.39448,-0.652565,2.1327,-3.81561,5.14138,301.4,-317.094,342.294,0,0,0,642.796,1209.91,1759.86,-0,-0,-0,0,0,0,0.836331,-0.74419,1.26355,2229.49,763.226
0.28,0.900852,-1.40981,1.63418,-1.3679,-0.732214,2.33344,-4.14477,5.48986,291.767,-307.902,327.949,0,0,0,680.822,1276.18,1800.4,-0,-0,-0,0,0,0,0.842871,-0.773823,1.35209,2173.66,781.659
0.285,0.897007,-1.39765,1.61262,-1.33957,-0.804266,2.52889,-4.48006,5.84301,282.109,-298.707,313.556,0,0,0,713.423,1338.22,1832.11,-0,-0,-0,0,0,0,0.849846,-0.803114,1.43715,2118.3,800.769
0.29,0.892822,-1.38453,1.58937,-1.30946,-0.868333,2.71942,-4.82333,6.20223,272.412,-289.431,299.131,0,0,0,740.803,1396.02,1855.28,-0,-0,-0,0,0,0,0.857237,-0.83207,1.51877,2063.11,820.466
0.295,0.888338,-1.37046,1.56437,-1.27753,-0.923994,2.90532,-5.17654,6.56922,262.672,-279.976,284.725,0,0,0,763.144,1449.3,1870.42,-0,-0,-0,0,0,0,0.865028,-0.860691,1.59693,2007.79,840.661
0.3,0.883597,-1.35548,1.53758,-1.24375,-0.970992,3.0871,-5.54175,6.94594,252.899,-270.257,270.351,0,0,0,780.725,1497.7,1877.85,-0,-0,-0,0,0,0,0.873201,-0.888965,1.67163,1952.17,861.266
0.305,0.878642,-1.3396,1.50893,-1.20806,-1.00963,3.26603,-5.92106,7.33418,243.078,-260.175,255.948,0,0,0,793.898,1540.51,1877.17,-0,-0,-0,0,0,0,0.881738,-0.916871,1.74283,1895.88,882.194
0.31,0.873513,-1.32282,1.47835,-1.17039,-1.04046,3.44374,-6.31675,7.73582,233.102,-249.619,241.493,0,0,0,802.744,1576.78,1868.15,-0,-0,-0,0,0,0,0.890623,-0.944377,1.81047,1837.99,903.35
0.315,0.868252,-1.30516,1.44573,-1.13067,-1.06261,3.62036,-6.73192,8.15394,222.759,-238.48,226.934,0,0,0,806.467,1605.43,1850.4,-0,-0,-0,0,0,0,0.899837,-0.971443,1.8744,1776.89,924.634
0.32,0.862902,-1.28662,1.41099,-1.08881,-1.0757,3.79681,-7.17004,8.5917,212.141,-226.708,212.243,0,0,0,805.459,1625.51,1823.53,-0,-0,-0,0,0,0,0.909361,-0.99802,1.93442,1712.88,945.936
0.325,0.857508,-1.26719,1.37399,-1.04472,-1.08104,3.97636,-7.63475,9.05161,201.312,-214.276,197.425,0,0,0,800.49,1635.94,1787.02,-0,-0,-0,0,0,0,0.919174,-1.02405,1.99034,1646.11,967.141
0.33,0.8521,-1.24684,1.33459,-0.998257,-1.08153,4.16449,-8.12997,9.53581,190.324,-201.118,182.505,0,0,0,792.602,1635.08,1740.34,-0,-0,-0,0,0,0,0.929257,-1.04945,2.04201,1576.6,988.13
0.335,0.846694,-1.22552,1.29263,-0.949314,-1.08131,4.36854,-8.66027,10.0464,179.045,-187.182,167.503,0,0,0,782.163,1621.04,1682.81,-0,-0,-0,0,0,0,0.939587,-1.07414,2.08923,1503.23,1008.78
0.34,0.841283,-1.20312,1.24792,-0.897743,-1.08378,4.59552,-9.2319,10.587,167.241,-172.506,152.421,0,0,0,768.559,1592.55,1613.69,-0,-0,-0,0,0,0,0.950141,-1.09802,2.1317,1424.38,1028.94
0.345,0.835845,-1.17951,1.20023,-0.843386,-1.09291,4.85388,-9.85274,11.1622,154.747,-156.906,137.272,0,0,0,751.124,1545.95,1532.26,-0,-0,-0,0,0,0,0.960895,-1.12097,2.16902,1338.31,1048.47
0.35,0.830332,-1.15451,1.14929,-0.786056,-1.11512,5.15562,-10.5318,11.7765,141.365,-140.149,122.084,0,0,0,728.824,1476.02,1437.72,-0,-0,-0,0,0,0,0.971822,-1.14284,2.20068,1242.8,1067.17
0.355,0.824657,-1.12786,1.0948,-0.725547,-1.15911,5.51649,-11.2802,12.4349,126.75,-122.366,106.883,0,0,0,699.214,1380.31,1329.09,-0,-0,-0,0,0,0,0.982892,-1.16338,2.22601,1135.16,1084.82
0.36,0.818685,-1.09921,1.03635,-0.661623,-1.2369,5.95776,-12.1118,13.1431,110.901,-103.472,91.7966,0,0,0,660.722,1253.23,1206.5,-0,-0,-0,0,0,0,0.99407,-1.18236,2.2442,1014.14,1101.16
0.365,0.812194,-1.06809,0.973515,-0.59403,-1.3716,6.51502,-13.0411,13.9025,94.1079,-83.4213,77.0345,0,0,0,613.115,1087.9,1070.97,-0,-0,-0,0,0,0,1.00532,-1.19938,2.2544,880.031,1115.92
0.37,0.804814,-1.03378,0.905755,-0.522519,-1.5998,7.24141,-14.0832,14.7093,76.6971,-62.5689,62.8567,0,0,0,555.395,881.168,924.581,-0,-0,-0,0,0,0,1.0166,-1.21399,2.25585,733.653,1128.78
0.375,0.795956,-0.995271,0.832466,-0.446872,-1.97253,8.20948,-15.2557,15.555,58.5821,-41.1937,49.4477,0,0,0,480.929,628.44,769.157,-0,-0,-0,0,0,0,1.02786,-1.22559,2.24768,571.674,1139.41
0.38,0.784731,-0.951118,0.752948,-0.366932,-2.56106,9.51863,-16.5785,16.4228,40.0043,-19.5539,37.0257,0,0,0,380.786,324.175,608.065,-0,-0,-0,0,0,0,1.03906,-1.23337,2.22881,390.722,1147.42
0.385,0.769818,-0.899284,0.666391,-0.282654,-3.46789,11.3105,-18.0755,17.2842,22.1447,0.643879,25.9049,0,0,0,250.467,-11.6384,447.745,-0,-0,-0,0,0,0,1.05013,-1.23621,2.19803,194.458,1152.41
0.39,0.749366,-0.836913,0.571685,-0.194027,-4.79374,13.7723,-19.8775,18.1808,7.46955,0.616261,15.5408,0,0,0,102.873,-12.2497,282.544,-0,-0,-0,0,0,0,1.06102,-1.23464,2.15651,44.2886,1155.07
